state,discipline,gender,avggradereceived
OH,Humanities,M,N/A
TX,Communication,F,B
CA,Philosophy,M,B
CA,Anthropology,M,N/A
CA,Mathematics,M,N/A
NV,English,F,A-
CA,Communication,M,N/A
MA,Sociology,M,N/A
OK,Anthropology,F,B-
VA,Languages,F,N/A
